id,blank_id
62,71135
5,73014
567,72045
203,71169
109,71142
218,73019
90,71207
387,71136
236,72001
549,71105
609,71026
683,71174
71,71208
425,71006
706,73065
568,71172
146,73030
330,73095
697,72110
867,71022
6,72072
503,72057
138,71053
833,72079
741,71009
523,72139
740,73053
9,73093
24,71080
926,72025
920,73051
778,73102
421,71188
420,71192
859,71095
460,71157
324,73006
557,71168
200,73008
277,71046
633,72120
617,71024
365,71216
710,72038
716,73113
103,73063
10,73090
876,73021
140,71114
636,73107
153,72097
860,72137
492,72026
485,73031
645,71191
255,71213
259,71097
87,71226
935,72093
395,71167
793,72036
193,72091
347,72083
902,73045
436,71151
497,72130
308,73092
362,71222
336,71161
195,71094
196,71079
43,71193
555,71181
930,71021
684,73066
663,73034
933,72028
128,71178
105,72003
182,71185
294,71187
455,71212
509,71201
50,71144
457,71042
389,71137
449,71217
399,71199
219,73042
205,72010
779,71045
176,71058
156,71155
383,71131
620,72055
120,71030
696,71141
738,71088
499,71037
327,72027
334,72090
652,72022
949,72114
635,71011
452,71090
409,72009
216,71110
835,71160
640,71056
723,71041
842,73109
13,71122
771,73091
539,71055
967,72096
783,71038
114,71153
54,71162
655,71083
179,71210
753,72138
180,71221
500,71165
747,73115
527,71050
160,72071
222,72013
376,72113
155,71115
375,71008
501,71036
61,71138
311,72023
398,71054
390,72087
141,71103
396,71120
836,71069
746,71127
91,71171
829,72029
518,72015
80,71040
212,72065
701,71197
397,72007
208,73083
227,71107
356,71032
106,71018
909,73086
879,72092
641,71179
928,72122
580,72073
325,72064
41,73047
491,71143
950,73096
56,73067
329,71180
47,73087
17,71209
602,73017
230,71117
639,72085
714,71099
728,72089
92,71198
721,71130
718,73028
107,71204
808,71081
525,71147
64,71098
419,73069
127,71163
569,72131
679,73106
722,73060
767,72128
53,71148
323,71043
407,71166
199,71159
412,72066
443,71186
918,71076
857,73076
326,73032
258,71029
174,71128
707,71225
78,72005
843,72082
353,71015
662,72075
890,72086
484,73056
188,71230
381,72080
280,73013
676,71025
742,73054
413,71121
344,71047
44,73044
392,71195
578,71211
837,71220
117,71145
691,71093
93,71173
68,71078
11,71104
300,72126
57,73089
350,71087
451,71064
811,71004
426,71075
391,71119
840,71049
653,71091
647,72062
534,71112
202,71033
270,71134
749,71183
906,73068
245,71129
581,73001
121,71219
165,71146
